0. What is biology?         In simple terms, biology is the study of living organisms and their interactions with one another and their environments.       This is a very broad definition because the scope of biology is vast. 
183. Like the mitochondria, chloroplasts have their own DNA and ribosomes, but chloroplasts have an entirely different function.         Chloroplasts are plant cell organelles that carry out photosynthesis.       Photosynthesis is the series of reactions that use carbon dioxide, water, and light energy to make glucose and oxygen. 
186. Within the cytoplasm, there would still be ions and organic molecules, plus a network of protein fibers that help maintain the shape of the cell, secure some organelles in specific positions, allow cytoplasm and vesicles to move within the cell, and enable cells within multicellular organisms to move.         Collectively, this network of protein fibers is known as the cytoskeleton.       There are three types of fibers within the cytoskeleton: microfilaments, intermediate filaments, and microtubules ([link]). 
189. The walls of the microtubule are made of polymerized dimers of α-tubulin and β-tubulin, two globular proteins ([link]).         With a diameter of about 25 nm, microtubules are the widest components of the cytoskeleton.       They help the cell resist compression, provide a track along which vesicles move through the cell, and pull replicated chromosomes to opposite ends of a dividing cell. 
192. Collagen fibers are interwoven with carbohydrate-containing protein molecules called proteoglycans.         Collectively, these materials are called the extracellular matrix ([link]).       Not only does the extracellular matrix hold the cells together to form a tissue, but it also allows the cells within the tissue to communicate with each other. 
195.         Also found only in animal cells are desmosomes, which act like spot welds between adjacent epithelial cells ([link]).       Short proteins called cadherins in the plasma membrane connect to intermediate filaments to create desmosomes. 
198. The plasma membrane of human red blood cells is 30 percent lipid.         Carbohydrates are present only on the exterior surface of the plasma membrane and are attached to proteins, forming glycoproteins, or attached to lipids, forming glycolipids.       
201. The head can form hydrogen bonds, but the tail cannot.         A molecule with this arrangement of a positively or negatively charged area and an uncharged, or non-polar, area is referred to as amphiphilic or “dual-loving.”       
204. Plasma membranes must allow certain substances to enter and leave a cell, and prevent some harmful materials from entering and some essential materials from leaving.         In other words, plasma membranes are selectively permeable—they allow some substances to pass through, but not others.       If they were to lose this selectivity, the cell would no longer be able to sustain itself, and it would be destroyed. 
207.         Diffusion is a passive process of transport.       A single substance tends to move from an area of high concentration to an area of low concentration until the concentration is equal across a space. 
210.          The integral proteins involved in facilitated transport are collectively referred to as transport proteins, and they function as either channels for the material or carriers.       In both cases, they are transmembrane proteins. 
213.          Another type of protein embedded in the plasma membrane is a carrier protein.       This aptly named protein binds a substance and, in doing so, triggers a change of its own shape, moving the bound molecule from the outside of the cell to its interior ([link]); depending on the gradient, the material may move in the opposite direction. 
216.         Tonicity describes how an extracellular solution can change the volume of a cell by affecting osmosis.       A solution's tonicity often directly correlates with the osmolarity of the solution. 
219.          As for a hypertonic solution, the prefix hyper- refers to the extracellular fluid having a higher osmolarity than the cell’s cytoplasm; therefore, the fluid contains less water than the cell does.       Because the cell has a relatively higher concentration of water, water will leave the cell. 
222.         Active transport mechanisms require the use of the cell’s energy, usually in the form of adenosine triphosphate (ATP).       If a substance must move into the cell against its concentration gradient—that is, if the concentration of the substance inside the cell is greater than its concentration in the extracellular fluid (and vice versa)—the cell must use energy to move the substance. 
225. Two mechanisms exist for the transport of small-molecular weight material and small molecules.         Primary active transport moves ions across a membrane and creates a difference in charge across that membrane, which is directly dependent on ATP.       Secondary active transport describes the movement of material that is due to the electrochemical gradient established by primary active transport that does not directly require ATP. 
228. An important membrane adaption for active transport is the presence of specific carrier proteins or pumps to facilitate movement: there are three types of these proteins or transporters ([link]).         A uniporter carries one specific ion or molecule.       A symporter carries two different ions or molecules, both in the same direction. 
231. This difference in charge is important in creating the conditions necessary for the secondary process.         The sodium-potassium pump is, therefore, an electrogenic pump (a pump that creates a charge imbalance), creating an electrical imbalance across the membrane and contributing to the membrane potential.       
234.         A variation of endocytosis is called pinocytosis.       This literally means “cell drinking” and was named at a time when the assumption was that the cell was purposefully taking in extracellular fluid. 
237.         In receptor-mediated endocytosis, as in phagocytosis, clathrin is attached to the cytoplasmic side of the plasma membrane.       If uptake of a compound is dependent on receptor-mediated endocytosis and the process is ineffective, the material will not be removed from the tissue fluids or blood. 
240. Just as living things must continually consume food to replenish what has been used, cells must continually produce more energy to replenish that used by the many energy-requiring chemical reactions that constantly take place.         All of the chemical reactions that take place inside cells, including those that use energy and those that release energy, are the cell’s metabolism.       
243.         Thermodynamics refers to the study of energy and energy transfer involving physical matter.       The matter and its environment relevant to a particular case of energy transfer are classified as a system, and everything outside of that system is called the surroundings. 
246. However, a wrecking ball that is not in motion is incapable of performing work.         Energy associated with objects in motion is called kinetic energy.       A speeding bullet, a walking person, the rapid movement of molecules in the air (which produces heat), and electromagnetic radiation like light all have kinetic energy. 
249. How can the energy released from one reaction be compared to that of another reaction?         A measurement of free energy is used to quantitate these energy transfers.       Free energy is called Gibbs free energy (abbreviated with the letter G) after Josiah Willard Gibbs, the scientist who developed the measurement. 
252. Thus, the products of these reactions can be thought of as energy-storing molecules.         These chemical reactions are called endergonic reactions, and they are non-spontaneous.       An endergonic reaction will not take place on its own without the addition of free energy. 
255. The source of the activation energy needed to push reactions forward is typically heat energy from the surroundings.         Heat energy (the total bond energy of reactants or products in a chemical reaction) speeds up the motion of molecules, increasing the frequency and force with which they collide; it also moves atoms and bonds within the molecule slightly, helping them reach their transition state.       For this reason, heating up a system will cause chemical reactants within that system to react more frequently. 
258.         The chemical reactants to which an enzyme binds are the enzyme’s substrates.       There may be one or more substrates, depending on the particular chemical reaction. 
261. This model asserted that the enzyme and substrate fit together perfectly in one instantaneous step.         However, current research supports a more refined view called induced fit ([link]).       The induced-fit model expands upon the lock-and-key model by describing a more dynamic interaction between enzyme and substrate. 
264. Many enzymes don’t work optimally, or even at all, unless bound to other specific non-protein helper molecules, either temporarily through ionic or hydrogen bonds or permanently through stronger covalent bonds.         Two types of helper molecules are cofactors and coenzymes.       Binding to these molecules promotes optimal conformation and function for their respective enzymes. 
267. This repulsion makes the ADP and ATP molecules inherently unstable.         The release of one or two phosphate groups from ATP, a process called dephosphorylation, releases energy.       
270. Most of the ATP generated during glucose catabolism, however, is derived from a much more complex process, chemiosmosis, which takes place in mitochondria ([link]) within a eukaryotic cell or the plasma membrane of a prokaryotic cell.         Chemiosmosis, a process of ATP production in cellular metabolism, is used to generate 90 percent of the ATP made during glucose catabolism and is also the method used in the light reactions of photosynthesis to harness the energy of sunlight.       The production of ATP using the process of chemiosmosis is called oxidative phosphorylation because of the involvement of oxygen in the process. 
273. Nearly all living organisms carry out glycolysis as part of their metabolism.         The process does not use oxygen and is therefore anaerobic.       Glycolysis takes place in the cytoplasm of both prokaryotic and eukaryotic cells. 
276. If the cell cannot catabolize the pyruvate molecules further, it will harvest only two ATP molecules from one molecule of glucose.         Mature mammalian red blood cells are not capable of aerobic respiration—the process in which organisms convert energy in the presence of oxygen—and glycolysis is their sole source of ATP.       If glycolysis is interrupted, these cells lose their ability to maintain their sodium-potassium pumps, and eventually, they die. 
279. As the protein passes along  the Golgi’s cisternae, it is further modified by the addition of more carbohydrates.         After its synthesis is complete, it exits as integral membrane protein of the vesicle that bud from the Golgi’s trans face and when the vesicle fuses with the cell membrane the protein becomes integral portion  of that cell membrane.       (credit: modification of work by Magnus Manske) 
282.         The smooth endoplasmic reticulum (SER) is continuous with the RER but has few or no ribosomes on its cytoplasmic surface ([link]).       Functions of the SER include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storage of calcium ions. 
285. Complex II directly receives FADH2, which does not pass through complex I.         The compound connecting the first and second complexes to the third is ubiquinone (Q).       The Q molecule is lipid soluble and freely moves through the hydrophobic core of the membrane. 
288. In contrast, some living systems use an inorganic molecule as a final electron acceptor.         Both methods are called anaerobic cellular respiration in which organisms convert energy for their use in the absence of oxygen.       
291. Other organisms, such as animals, fungi, and most other bacteria, are termed heterotrophs (“other feeders”), because they must rely on the sugars produced by photosynthetic organisms for their energy needs.         A third very interesting group of bacteria synthesize sugars, not by using sunlight’s energy, but by extracting energy from inorganic chemical compounds; hence, they are referred to as chemoautotrophs.       
294. The stomata are typically located on the underside of the leaf, which helps to minimize water loss.         Each stoma is flanked by guard cells that regulate the opening and closing of the stomata by swelling or shrinking in response to osmotic changes.In all autotrophic eukaryotes, photosynthesis takes place inside an organelle called a chloroplast.       For plants, chloroplast-containing cells exist in the mesophyll. 
297. Embedded in the thylakoid membrane is chlorophyll, a pigment (molecule that absorbs light) responsible for the initial interaction between light and plant material, and numerous proteins that make up the electron transport chain.         The thylakoid membrane encloses an internal space called the thylakoid lumen.       As shown in [link], a stack of thylakoids is called a granum, and the liquid-filled space surrounding the granum is called stroma or “bed” (not to be confused with stoma or “mouth,” an opening on the leaf epidermis).Art Connection 
300. In the light-dependent reactions, energy from sunlight is absorbed by chlorophyll and that energy is converted into stored chemical energy.         In the light-independent reactions, the chemical energy harvested during the light-dependent reactions drive the assembly of sugar molecules from carbon dioxide.       Therefore, although the light-independent reactions do not use light as a reactant, they require the products of the light-dependent reactions to function. 
