3617. Generally, you pick up on depth in these images even though the visual stimulus is 2-D.         When we do this, we are relying on a number of monocular cues, or cues that require only one eye.       If you think you can’t see depth with one eye, note that you don’t bump into things when using only one eye while walking—and, in fact, we have more monocular cues than binocular cues. 
3782.          Based on these observations, Masters and Johnson divided the sexual response cycle into four phases that are fairly similar in men and women: excitement, plateau, orgasm, and resolution ([link]).       The excitement phase is the arousal phase of the sexual response cycle, and it is marked by erection of the penis or clitoris and lubrication and expansion of the vaginal canal. 
3785. Both men and women experience increases in muscle tone during this time.         Orgasm is marked in women by rhythmic contractions of the pelvis and uterus along with increased muscle tension.       In men, pelvic contractions are accompanied by a buildup of seminal fluid near the urethra that is ultimately forced out by contractions of genital muscles, (i.e., ejaculation). 
3788. In reality, these are two related, but different, issues.         Gender identity refers to one’s sense of being male or female.       Generally, our gender identities correspond to our chromosomal and phenotypic sex, but this is not always the case. 
3791. While you’re likely familiar with the term “IQ” and associate it with the idea of intelligence, what does IQ really mean?         IQ stands for intelligence quotient and describes a score earned on a test designed to measure intelligence.       You’ve already learned that there are many ways psychologists describe intelligence (or more aptly, intelligences). 
3794. Interestingly, the periodic recalibrations have led to an interesting observation known as the Flynn effect.         Named after James Flynn, who was among the first to describe this trend, the Flynn effect refers to the observation that each generation has a significantly higher IQ than the last.       Flynn himself argues, however, that increased IQ scores do not necessarily mean that younger generations are more intelligent per se (Flynn, Shaughnessy, & Fulgham, 2012). 
3797. Some researchers believe that intelligence is a trait inherited from a person’s parents.         Scientists who research this topic typically use twin studies to determine the heritability of intelligence.       The Minnesota Study of Twins Reared Apart is one of the most well-known twin studies. 
3800.         Children with dysgraphia have a learning disability that results in a struggle to write legibly.       The physical task of writing with a pen and paper is extremely challenging for the person. 
3803. Emotions are often thought to be consciously experienced and intentional.         Mood, on the other hand, refers to a prolonged, less intense, affective state that does not occur in response to something we experience.       Mood states may not be consciously recognized and do not carry the intentionality that is associated with emotion (Beedie, Terry, Lane, & Devonport, 2011). 
3806. Other theorists, however, doubted that the physiological arousal that occurs with different types of emotions is distinct enough to result in the wide variety of emotions that we experience.         Thus, the Cannon-Bard theory of emotion was developed.       According to this view, physiological arousal and emotional experience occur simultaneously, yet independently (Lang, 1994). 
3809. The relationship between our experiencing of emotions and our cognitive processing of them, and the order in which these occur, remains a topic of research and debate.         Lazarus (1991) developed the cognitive-mediational theory that asserts our emotions are determined by our appraisal of the stimulus.       This appraisal mediates between the stimulus and the emotional response, and it is immediate and often unconscious. 
3812. The amygdala is composed of various subnuclei, including the basolateral complex and the central nucleus ([link]).         The basolateral complex has dense connections with a variety of sensory areas of the brain.       It is critical for classical conditioning and for attaching emotional value to learning processes and memory. 
3815. Culture can impact the way in which people display emotion.         A cultural display rule is one of a collection of culturally specific standards that govern the types and frequencies of displays of emotions that are acceptable (Malatesta & Haviland, 1982).       Therefore, people from varying cultural backgrounds can have very different cultural display rules of emotion. 
3818. We also use the tone of our voices, various behaviors, and body language to communicate information about our emotional states.         Body language is the expression of emotion in terms of body position or movement.       Research suggests that we are quite sensitive to the emotional information communicated through body language, even if we’re not consciously aware of it (de Gelder, 2006; Tamietto et al., 2009). 
3821.         In the centuries after Galen, other researchers contributed to the development of his four primary temperament types, most prominently Immanuel Kant (in the 18th century) and psychologist Wilhelm Wundt (in the 19th century) (Eysenck, 2009; Stelmack & Stalikas, 1991; Wundt, 1874/1886) ([link]).       Kant agreed with Galen that everyone could be sorted into one of the four temperaments and that there was no overlap between the four categories (Eysenck, 2009). 
3824. LEVELS OF CONSCIOUSNESSTo explain the concept of conscious versus unconscious experience, Freud compared the mind to an iceberg ([link]).         He said that only about one-tenth of our mind is conscious, and the rest of our mind is unconscious.       Our unconscious refers to that mental activity of which we are unaware and are unable to access (Freud, 1923). 
3827. It strives for perfection and judges our behavior, leading to feelings of pride or—when we fall short of the ideal—feelings of guilt.         In contrast to the instinctual id and the rule-based superego, the ego is the rational part of our personality.       It’s what Freud considered to be the self, and it is the part of our personality that is seen by others. 
3830. Eventually you forget about it.         Similarly, in the human psyche, if a memory is too overwhelming to deal with, it might be repressed and thus removed from conscious awareness (Freud, 1920).       This repressed memory might cause symptoms in other areas. 
3833. For example, a four-year-old child who resents the arrival of a newborn sibling may act like a baby and revert to drinking out of a bottle.         In projection, a person refuses to acknowledge her own unconscious feelings and instead sees those feelings in someone else.       Other defense mechanisms include rationalization, displacement, and sublimation. 
3836.         In the oral stage (birth to 1 year), pleasure is focused on the mouth.       Eating and the pleasure derived from sucking (nipples, pacifiers, and thumbs) play a large part in a baby’s first year of life. 
3839.         Following the phallic stage of psychosexual development is a period known as the latency period (6 years to puberty).       This period is not considered a stage, because sexual feelings are dormant as children focus on other pursuits, such as school, friendships, hobbies, and sports. 
3842. Alfred Adler, a colleague of Freud’s and the first president of the Vienna Psychoanalytical Society (Freud’s inner circle of colleagues), was the first major theorist to break away from Freud ([link]).         He subsequently founded a school of psychology called individual psychology, which focuses on our drive to compensate for feelings of inferiority.       Adler (1937, 1956) proposed the concept of the inferiority complex. 
3845.         Carl Jung ([link]) was a Swiss psychiatrist and protégé of Freud, who later split off from Freud and developed his own theory, which he called analytical psychology.       The focus of analytical psychology is on working to balance opposing forces of conscious and unconscious thought, and experience within one’s personality. 
3848.         Karen Horney was one of the first women trained as a Freudian psychoanalyst.       During the Great Depression, Horney moved from Germany to the United States, and subsequently moved away from Freud’s teachings. 
3851. If someone asks you what you ate for lunch today, more than likely you could recall this information quite easily.         This is known as automatic processing, or the encoding of details like time, space, frequency, and the meaning of words.       Automatic processing is usually done without any conscious awareness. 
3854.          Visual encoding is the encoding of images, and acoustic encoding is the encoding of sounds, words in particular.       To see how visual encoding works, read over this list of words: car, level, dog, truth, book, value. 
3857. Storage is the creation of a permanent record of information.         In order for a memory to go into storage (i.e., long-term memory), it has to pass through three distinct stages: Sensory Memory, Short-Term Memory, and finally Long-Term Memory.       These stages were first proposed by Richard Atkinson and Richard Shiffrin (1968). 
3860. One study of sensory memory researched the significance of valuable information on short-term memory storage.         J. R. Stroop discovered a memory phenomenon in the 1930s: you will name a color more easily if it appears printed in that color, which is called the Stroop effect.       In other words, the word “red” will be named more quickly, regardless of the color the word appears in, than any word that is colored red. 
3863.          Long-term memory (LTM) is the continuous storage of information.       Unlike short-term memory, the storage capacity of LTM has no limits. 
3866.          Procedural memory is a type of implicit memory: it stores information about how to do things.       It is the memory for skilled actions, such as how to brush your teeth, how to drive a car, how to swim the crawl (freestyle) stroke. 
3869.         Episodic memory is information about events we have personally experienced.       The concept of episodic memory was first proposed about 40 years ago (Tulving, 1972). 
3872. How do you get that information back out of storage when you need it?         The act of getting information out of memory storage and back into conscious awareness is known as retrieval.       This would be similar to finding and opening a paper you had previously saved on your computer’s hard drive. 
3875.          The third form of retrieval is relearning, and it’s just what it sounds like.       It involves learning information that you previously learned. 
3878.          First, let’s look at the role of the amygdala in memory formation.       The main job of the amygdala is to regulate emotions, such as fear and aggression ([link]). 
3881. There also appear to be specific neurotransmitters involved with the process of memory, such as epinephrine, dopamine, serotonin, glutamate, and acetylcholine (Myhrer, 2003).         There continues to be discussion and debate among researchers as to which neurotransmitter plays which specific role (Blockland, 1996).       Although we don’t yet know which role each neurotransmitter plays in memory, we do know that communication among neurons via neurotransmitters is critical for developing new memories. 
3884. In other words, people behave in a consistent manner based on prior learning.         B. F. Skinner, a strict behaviorist, believed that environment was solely responsible for all behavior, including the enduring, consistent behavior patterns studied by personality theorists.       
3887.         In contrast to Skinner’s idea that the environment alone determines behavior, Bandura (1990) proposed the concept of reciprocal determinism, in which cognitive processes, behavior, and context all interact, each factor influencing and being influenced by the others simultaneously ([link]).       Cognitive processes refer to all characteristics previously learned, including beliefs, expectations, and personality characteristics. 
3890. Julian Rotter (1966) proposed the concept of locus of control, another cognitive factor that affects learning and personality development.         Distinct from self-efficacy, which involves our belief in our own abilities, locus of control refers to our beliefs about the power we have over our lives.       In Rotter’s view, people possess either an internal or an external locus of control ([link]). 
3893. Anterograde amnesia is commonly caused by brain trauma, such as a blow to the head.         With anterograde amnesia, you cannot remember new information, although you can remember information and events that happened prior to your injury.       The hippocampus is usually affected (McLeod, 2011). 
3896. Because memory is so fragile, witnesses can be easily (and often accidentally) misled due to the problem of suggestibility.         Suggestibility describes the effects of misinformation from external sources that leads to the creation of false memories.       In the fall of 2002, a sniper in the DC area shot people at a gas station, leaving Home Depot, and walking down the street. 
3899. She has studied false memories as well as recovered memories of childhood sexual abuse.         Loftus also developed the misinformation effect paradigm, which holds that after exposure to incorrect information, a person may misremember the original event.       
3902.         Let’s look at the first sin of the forgetting errors: transience, which means that memories can fade over time.       Here’s an example of how this happens. 
3905. Now let’s take a look at the three errors of distortion: misattribution, suggestibility, and bias.         Misattribution happens when you confuse the source of your information.       Let’s say Alejandro was dating Lucia and they saw the first Hobbit movie together. 
3908. When the new year starts, do you find you accidentally write the previous year?         These are examples of proactive interference: when old information hinders the recall of newly learned information.       Retroactive interference happens when information learned more recently hinders the recall of older information. 
3911. This perspective focuses on how healthy people develop.         One pioneering humanist, Abraham Maslow, studied people who he considered to be healthy, creative, and productive, including Albert Einstein, Eleanor Roosevelt, Thomas Jefferson, Abraham Lincoln, and others.       Maslow (1950, 1970) found that such people share similar characteristics, such as being open, creative, loving, spontaneous, compassionate, concerned for others, and accepting of themselves. 
3914. Rogers focused on the idea that we need to achieve consistency between these two selves.         We experience congruence when our thoughts about our real self and ideal self are very similar—in other words, when our self-concept is accurate.       High congruence leads to a greater sense of self-worth and a healthy, productive life. 
